candidate_id,source,years_experience,education_level,gpa,tech_assessment,behavioral_assessment,coding_challenge,interview_score,notice_period_days,offer_accepted,interviewer_notes_keywords,probation_passed,performance_rating_6mo,performance_rating_12mo,tenure_months,high_performer_flag,voluntary_attrition
18,Indeed,3,Bachelor,3.1,72,78,74,7.4,45,1,adequate requires_supervision,1,3.1,3.2,11,0,1
19,LinkedIn,6,Master,3.9,89,86,91,8.6,30,1,leadership_potential strategic,1,4.4,4.5,27,1,0
20,Referral,1,Associate,3.4,68,82,70,7.9,30,1,motivated team_player,1,3.6,3.9,21,0,0
21,Campus,0,Master,3.8,84,78,86,8.1,60,1,academic_excellence applied_skills,1,3.8,4.2,39,1,0
22,Indeed,4,Bachelor,3.0,70,65,68,6.7,30,1,mediocre clock_watcher,1,2.9,2.8,8,0,1
23,LinkedIn,9,PhD,3.7,92,84,95,8.9,90,1,deep_expertise narrow_focus,1,4.6,4.8,18,1,1
24,Referral,3,Bachelor,3.6,80,89,82,8.5,30,1,reliable customer_focused,1,4.0,4.1,45,1,0
25,Career_Fair,2,Bachelor,3.2,74,76,72,7.3,45,1,developing needs_mentoring,1,3.3,3.4,14,0,0
26,Company_Website,5,Master,3.5,83,80,85,8.0,30,1,steady low_risk,1,3.9,4.0,30,1,0
27,Indeed,1,Bachelor,2.7,58,62,55,5.5,30,1,poor_preparation attitude_issues,0,2.0,,2,0,1
28,LinkedIn,4,Master,3.8,87,83,89,8.4,30,1,innovative problem_solver,1,4.2,4.4,24,1,0
29,Referral,2,Bachelor,3.4,79,87,80,8.2,60,1,positive adaptable,1,3.8,4.0,36,1,0
30,Campus,0,Bachelor,3.7,81,74,79,7.7,90,1,strong_foundation needs_experience,1,3.6,3.8,22,0,0
31,LinkedIn,4,Master,3.6,82,81,84,8.0,30,1,analytical logical_thinker,1,3.9,4.1,27,1,0
32,Referral,5,Bachelor,3.3,79,85,80,8.1,45,1,experienced industry_knowledge,1,4.0,4.2,33,1,0
33,Indeed,2,Bachelor,2.9,63,68,65,6.3,30,1,basic_skills needs_coaching,1,2.7,2.9,7,0,1
34,Campus,0,Bachelor,3.4,77,72,75,7.5,60,1,teachable coachable,1,3.3,3.6,20,0,0
35,LinkedIn,6,PhD,3.8,91,83,93,8.7,90,1,theoretical_expertise complex_problems,1,4.4,4.6,15,1,1
36,Career_Fair,1,Associate,3.0,66,78,68,7.0,30,1,practical_skills hands_on,1,3.1,3.4,16,0,0
37,Referral,3,Master,3.7,84,88,86,8.5,30,1,client_facing communication_skills,1,4.1,4.3,39,1,0
38,Indeed,4,Bachelor,3.2,71,69,73,7.1,45,1,average_candidate routine_work,1,3.0,3.1,10,0,1
39,Company_Website,2,Master,3.6,80,79,82,7.9,30,1,methodical process_oriented,1,3.7,3.9,25,0,0
40,LinkedIn,8,Bachelor,3.1,77,74,79,7.6,60,1,seasoned set_in_ways,1,3.5,3.6,12,0,1
41,Referral,1,Bachelor,3.5,75,86,77,8.3,30,1,high_potential fast_learner,1,3.8,4.1,30,1,0
42,Campus,0,Bachelor,3.2,69,71,70,7.2,90,1,academic_theory limited_practical,1,3.0,3.2,18,0,0
43,Indeed,3,Bachelor,3.0,67,65,69,6.8,30,1,job_hopper multiple_short_stints,1,2.9,3.0,8,0,1
44,LinkedIn,5,Master,3.9,87,84,90,8.6,30,1,project_management cross_functional,1,4.3,4.4,29,1,0
45,Referral,4,Bachelor,3.4,81,87,83,8.4,45,1,collaborative team_builder,1,4.0,4.2,41,1,0
46,Career_Fair,2,Associate,2.9,62,75,64,6.9,30,1,vocational_training technical_skills,1,2.8,3.0,13,0,0
47,Company_Website,6,Master,3.5,83,80,85,8.1,30,1,reliable corporate_experience,1,3.9,4.0,35,1,0
48,Indeed,1,Bachelor,2.8,59,63,61,5.9,60,1,unfocused lacks_direction,0,2.1,,3,0,1
49,LinkedIn,7,PhD,3.7,89,82,91,8.5,120,0,research_focused academic_career,0,,,0,0,
50,Referral,2,Bachelor,3.6,78,89,80,8.3,30,1,positive_attitude growth_mindset,1,3.9,4.2,38,1,0
51,Campus,0,Bachelor,3.3,73,70,74,7.3,45,1,foundational_knowledge needs_development,1,3.2,3.5,22,0,0
52,Indeed,5,Bachelor,3.1,74,72,76,7.4,30,1,experienced_but_average plateaued,1,3.1,3.3,14,0,1
53,LinkedIn,4,Master,3.8,86,85,88,8.5,30,1,strategic_thinker business_acumen,1,4.2,4.3,26,1,0
54,Referral,3,Bachelor,3.5,79,90,81,8.6,45,1,culture_carrier company_values,1,4.1,4.4,44,1,0
55,Career_Fair,1,Bachelor,2.9,64,77,66,7.1,30,1,entry_level trainable,1,3.0,3.2,17,0,0
56,Company_Website,5,Master,3.6,84,82,86,8.2,30,1,stable consistent_performer,1,3.8,4.0,32,1,0
57,Indeed,2,Bachelor,3.0,68,66,70,6.9,60,1,minimal_effort just_enough,1,2.8,2.9,9,0,1
58,LinkedIn,9,PhD,3.9,93,85,94,8.9,90,1,subject_matter_expert specialist,1,4.7,4.8,21,1,1
59,Referral,1,Bachelor,3.4,76,84,78,8.1,30,1,coachable eager_to_learn,1,3.7,3.9,28,0,0
60,Campus,0,Master,3.7,83,76,85,7.8,60,1,theoretical_background needs_real_world,1,3.5,3.8,23,0,0
61,Indeed,4,Bachelor,3.2,72,70,74,7.2,30,1,adequate_performer no_initiative,1,3.1,3.2,11,0,1
62,LinkedIn,5,Master,3.7,85,83,87,8.3,30,1,technical_leadership mentoring_skills,1,4.1,4.2,30,1,0
63,Referral,2,Bachelor,3.5,77,88,79,8.4,45,1,relationship_builder networker,1,3.9,4.1,37,1,0
64,Career_Fair,2,Associate,3.1,67,79,69,7.3,30,1,trade_skills practical_knowledge,1,3.2,3.4,19,0,0
65,Company_Website,7,Master,3.4,82,81,84,8.1,30,1,corporate_professional process_follower,1,3.8,3.9,34,0,0
66,Indeed,3,Bachelor,2.9,65,64,67,6.6,30,1,passive_responsive needs_direction,1,2.8,2.7,7,0,1
67,LinkedIn,6,PhD,3.8,90,84,92,8.6,60,1,innovator thought_leader,1,4.5,4.6,20,1,1
68,Referral,4,Bachelor,3.6,80,86,82,8.5,30,1,trustworthy dependable,1,4.0,4.3,46,1,0
69,Campus,0,Bachelor,3.2,71,69,73,7.4,90,1,average_student needs_guidance,1,3.1,3.3,21,0,0
70,Indeed,1,Bachelor,2.7,57,60,59,5.7,30,1,unprepared weak_candidate,0,2.0,,2,0,1
71,LinkedIn,5,Master,3.9,88,85,90,8.7,30,1,high_achiever results_driven,1,4.4,4.5,31,1,0
72,Referral,3,Bachelor,3.4,78,89,80,8.4,45,1,positive_influence morale_booster,1,4.0,4.2,40,1,0
73,Career_Fair,1,Bachelor,3.0,69,76,71,7.5,30,1,developing_potential needs_investment,1,3.2,3.4,15,0,0
74,Company_Website,4,Master,3.5,81,80,83,8.0,30,1,predictable steady_contributor,1,3.7,3.8,29,0,0
75,Indeed,6,Bachelor,3.3,75,71,77,7.7,14,1,technical_competent poor_collaborator,1,3.3,3.4,10,0,1
76,LinkedIn,8,PhD,4.0,94,86,95,8.8,60,1,genius level_expert,1,4.8,4.9,26,1,1
77,Referral,2,Bachelor,3.5,79,87,81,8.5,30,1,high_energy motivated,1,4.0,4.3,35,1,0
78,Campus,0,Bachelor,3.1,70,68,72,7.3,60,1,average_academic needs_improvement,1,3.0,3.2,19,0,0
79,Indeed,3,Bachelor,3.0,66,67,68,6.7,45,1,mediocre_performer coasting,1,2.9,3.0,8,0,1
80,LinkedIn,4,Master,3.8,86,84,88,8.4,30,1,analytical_problem_solver data_driven,1,4.2,4.3,28,1,0
81,Referral,5,Bachelor,3.7,83,90,85,8.7,45,1,team_lead informal_leader,1,4.2,4.4,43,1,0
82,Career_Fair,2,Associate,3.2,68,80,70,7.6,30,1,hands_on_learner practical_minded,1,3.3,3.5,20,0,0
83,Company_Website,6,Master,3.6,85,83,87,8.3,30,1,corporate_savvy political_awareness,1,4.0,4.1,36,1,0
84,Indeed,2,Bachelor,2.8,61,63,64,6.2,30,1,underperforming struggling,0,2.3,,4,0,1
85,LinkedIn,7,PhD,3.7,91,83,93,8.7,90,1,research_expertise publication_record,1,4.6,4.7,22,1,1
86,Referral,1,Bachelor,3.3,74,85,76,8.2,30,1,quick_thinker adaptable,1,3.8,4.0,29,0,0
87,Campus,0,Master,3.6,82,75,84,7.9,60,1,academic_achiever needs_real_context,1,3.6,3.9,24,0,0
88,Indeed,4,Bachelor,3.1,73,69,75,7.3,45,1,average_technical limited_soft_skills,1,3.1,3.2,12,0,1
89,LinkedIn,5,Master,3.9,89,86,91,8.6,30,1,visionary forward_thinking,1,4.4,4.5,33,1,0
90,Referral,3,Bachelor,3.5,80,88,82,8.5,45,1,culture_fit values_alignment,1,4.1,4.2,39,1,0
91,Career_Fair,1,Bachelor,2.9,63,74,65,6.8,30,1,entry_level_trainable raw_talent,1,2.9,3.1,14,0,0
92,Company_Website,5,Master,3.4,82,81,84,8.1,30,1,reliable_performer consistent_output,1,3.8,3.9,31,0,0
93,Indeed,2,Bachelor,3.0,67,65,69,6.6,30,1,minimum_viable barely_meets_requirements,1,2.7,2.8,6,0,1
94,LinkedIn,6,PhD,3.8,92,84,94,8.8,60,1,domain_expert specialized_knowledge,1,4.5,4.7,25,1,1
95,Referral,2,Bachelor,3.6,79,86,81,8.4,30,1,positive_attitude team_oriented,1,3.9,4.1,34,1,0
96,Campus,0,Bachelor,3.2,72,70,74,7.4,90,1,average_student needs_structure,1,3.2,3.4,23,0,0
97,Indeed,3,Bachelor,2.9,64,66,67,6.5,45,1,uninspired going_through_motions,1,2.8,2.9,9,0,1
98,LinkedIn,4,Master,3.7,87,85,89,8.5,30,1,strategic_contributor business_impact,1,4.2,4.4,30,1,0
99,Referral,4,Bachelor,3.7,84,89,86,8.6,45,1,informal_mentor helps_others,1,4.1,4.3,42,1,0
100,Career_Fair,2,Associate,3.0,65,78,67,7.2,30,1,technical_training vocational_background,1,3.1,3.3,18,0,0
101,Company_Website,7,Master,3.5,83,82,85,8.2,30,1,corporate_professional follows_process,1,3.9,4.0,37,1,0
102,Indeed,1,Bachelor,2.7,56,61,58,5.6,30,1,poor_candidate not_recommended,0,1.9,,2,0,1
103,LinkedIn,8,PhD,3.9,93,85,95,8.9,90,1,intellectual academic_rigor,1,4.7,4.8,23,1,1
104,Referral,1,Bachelor,3.4,75,84,77,8.1,30,1,coachable growth_potential,1,3.7,3.9,27,0,0
105,Campus,0,Bachelor,3.1,69,67,71,7.3,60,1,average_performer needs_support,1,3.0,3.2,20,0,0
106,Indeed,5,Bachelor,3.2,73,71,75,7.4,30,1,experienced_mediocre plateaued_career,1,3.2,3.3,13,0,1
107,LinkedIn,5,Master,3.8,86,84,88,8.4,30,1,technical_leader architecture_skills,1,4.2,4.3,29,1,0
108,Referral,3,Bachelor,3.5,78,87,80,8.3,45,1,team_player collaboration_skills,1,3.9,4.1,38,1,0
109,Career_Fair,1,Bachelor,2.9,62,73,64,6.7,30,1,entry_level needs_training,1,2.9,3.1,16,0,0
110,Company_Website,6,Master,3.6,84,83,86,8.3,30,1,stable_performer low_attrition_risk,1,3.9,4.0,35,1,0
111,Indeed,2,Bachelor,3.0,66,64,68,6.5,60,1,minimum_effort coasting,1,2.7,2.8,7,0,1
112,LinkedIn,7,PhD,3.7,90,82,92,8.6,60,1,research_expert publications,1,4.5,4.6,24,1,1
113,Referral,2,Bachelor,3.6,80,85,82,8.4,30,1,reliable trustworthy,1,4.0,4.2,36,1,0
114,Campus,0,Master,3.7,83,76,85,7.8,60,1,academic_background theoretical_knowledge,1,3.6,3.8,22,0,0
115,Indeed,4,Bachelor,3.1,71,68,73,7.1,45,1,average_technical limited_growth,1,3.0,3.1,10,0,1
116,LinkedIn,4,Master,3.8,87,85,89,8.5,30,1,business_savvy commercial_awareness,1,4.2,4.4,31,1,0
117,Referral,5,Bachelor,3.7,85,90,87,8.7,45,1,culture_carrier company_advocate,1,4.3,4.4,45,1,0
118,Career_Fair,2,Associate,3.1,66,77,68,7.4,30,1,practical_skills hands_on_approach,1,3.2,3.4,19,0,0
119,Company_Website,7,Master,3.5,82,81,84,8.1,30,1,corporate_experience process_orientation,1,3.8,3.9,33,0,0
120,Indeed,3,Bachelor,2.9,63,65,66,6.4,30,1,underwhelming lacks_initiative,1,2.8,2.7,8,0,1
121,LinkedIn,6,PhD,3.8,91,84,93,8.7,60,1,domain_authority expert_consultant,1,4.5,4.7,26,1,1
122,Referral,1,Bachelor,3.3,74,83,76,8.0,30,1,quick_learner absorbs_information,1,3.7,3.9,28,0,0
123,Campus,0,Bachelor,3.2,70,69,72,7.2,90,1,average_student needs_guidance,1,3.1,3.3,21,0,0
124,Indeed,2,Bachelor,2.8,60,62,63,6.1,30,1,weak_candidate not_recommended,0,2.2,,3,0,1
125,LinkedIn,5,Master,3.9,88,86,90,8.7,30,1,high_performer results_oriented,1,4.4,4.5,32,1,0
126,Referral,3,Bachelor,3.5,79,88,81,8.5,45,1,positive_influence team_morale,1,4.1,4.3,41,1,0
127,Career_Fair,1,Bachelor,3.0,68,75,70,7.5,30,1,developing_potential investment_needed,1,3.2,3.4,17,0,0
128,Company_Website,4,Master,3.6,83,82,85,8.2,30,1,steady_contributor reliable_output,1,3.8,3.9,30,0,0
129,Indeed,6,Bachelor,3.3,76,72,78,7.7,14,1,technical_competent poor_communicator,1,3.4,3.5,11,0,1
130,LinkedIn,8,PhD,4.0,94,86,95,8.9,60,1,exceptional_talent industry_thought_leader,1,4.8,4.9,27,1,1
131,Referral,2,Bachelor,3.5,78,86,80,8.4,30,1,high_energy motivated_individual,1,3.9,4.2,37,1,0
132,Campus,0,Bachelor,3.1,69,67,71,7.3,60,1,average_academic needs_development,1,3.0,3.2,20,0,0
133,Indeed,3,Bachelor,3.0,65,66,67,6.6,45,1,mediocre_contributor lacks_ambition,1,2.9,3.0,9,0,1
134,LinkedIn,4,Master,3.8,86,84,88,8.4,30,1,analytical_mind problem_solver,1,4.2,4.3,29,1,0
135,Referral,5,Bachelor,3.7,84,89,86,8.6,45,1,team_leadership informal_manager,1,4.2,4.4,44,1,0
136,Career_Fair,2,Associate,3.2,67,79,69,7.5,30,1,hands_on_skills practical_approach,1,3.3,3.5,21,0,0
137,Company_Website,6,Master,3.6,85,83,87,8.3,30,1,corporate_acumen business_understanding,1,4.0,4.1,36,1,0
138,Indeed,2,Bachelor,2.9,61,63,64,6.3,30,1,underperforming struggles,0,2.4,,4,0,1
139,LinkedIn,7,PhD,3.7,90,83,92,8.6,90,1,research_background academic_expertise,1,4.6,4.7,23,1,1
140,Referral,1,Bachelor,3.4,75,84,77,8.2,30,1,quick_thinker adaptive,1,3.8,4.0,30,0,0
141,Campus,0,Master,3.6,82,75,84,7.9,60,1,academic_achievement needs_real_world,1,3.6,3.8,25,0,0
142,Indeed,4,Bachelor,3.1,72,69,74,7.2,45,1,average_technical limited_ambition,1,3.1,3.2,12,0,1
143,LinkedIn,5,Master,3.9,89,86,91,8.7,30,1,visionary_thinker future_oriented,1,4.4,4.5,34,1,0
144,Referral,3,Bachelor,3.5,80,87,82,8.5,45,1,culture_fit value_alignment,1,4.1,4.2,40,1,0
145,Career_Fair,1,Bachelor,2.9,64,74,66,6.9,30,1,entry_level_trainable raw_potential,1,3.0,3.2,15,0,0
146,Company_Website,5,Master,3.4,81,80,83,8.0,30,1,reliable_contributor consistent_work,1,3.7,3.8,32,0,0
147,Indeed,2,Bachelor,3.0,66,64,68,6.5,30,1,minimum_viable barely_qualified,1,2.7,2.8,7,0,1
148,LinkedIn,6,PhD,3.8,92,84,94,8.8,60,1,domain_specialist expert_knowledge,1,4.5,4.7,26,1,1
149,Referral,2,Bachelor,3.6,79,85,81,8.4,30,1,positive_attitude collaborative_spirit,1,3.9,4.1,35,1,0
150,Campus,0,Bachelor,3.2,71,69,73,7.4,90,1,average_student needs_structure,1,3.2,3.4,22,0,0
151,Indeed,3,Bachelor,3.1,69,70,71,7.3,45,1,average_candidate routine_worker,1,3.2,3.3,11,0,1
152,LinkedIn,4,Master,3.7,85,83,87,8.3,30,1,strategic_contributor business_minded,1,4.1,4.2,28,1,0
153,Referral,6,Bachelor,3.8,84,91,86,8.8,45,1,senior_informal_leader team_anchor,1,4.3,4.5,47,1,0
154,Career_Fair,2,Associate,3.0,64,76,66,7.1,30,1,practical_approach vocational_training,1,3.1,3.3,20,0,0
155,Company_Website,5,Master,3.5,82,80,84,8.1,30,1,corporate_ready process_compliant,1,3.8,3.9,34,0,0
156,Indeed,2,Bachelor,2.9,62,64,65,6.4,30,1,lacks_initiative passive_worker,1,2.8,2.9,8,0,1
157,LinkedIn,7,PhD,3.6,89,82,91,8.5,60,1,research_intensive academic_focused,1,4.5,4.6,24,1,1
158,Referral,1,Bachelor,3.4,76,83,78,8.2,30,1,fast_learner adaptive_thinking,1,3.8,4.0,31,0,0
159,Campus,0,Master,3.5,81,74,83,7.7,60,1,theoretical_basis needs_practicality,1,3.5,3.7,26,0,0
160,Indeed,5,Bachelor,3.2,73,72,75,7.5,30,1,experienced_average limited_growth,1,3.2,3.4,14,0,1
161,LinkedIn,4,Master,3.8,87,85,89,8.5,30,1,business_partner commercial_focus,1,4.2,4.4,32,1,0
162,Referral,3,Bachelor,3.6,81,88,83,8.6,45,1,culture_champion value_driven,1,4.2,4.3,42,1,0
163,Career_Fair,1,Bachelor,2.8,61,72,63,6.6,30,1,entry_level_raw potential_untapped,1,2.9,3.0,16,0,0
164,Company_Website,6,Master,3.4,83,81,85,8.2,30,1,corporate_warrior process_expert,1,3.9,4.0,36,1,0
165,Indeed,2,Bachelor,3.0,65,63,67,6.5,60,1,minimum_requirement coasting_along,1,2.7,2.8,7,0,1
166,LinkedIn,6,PhD,3.9,91,84,93,8.7,60,1,domain_guru industry_expert,1,4.6,4.7,25,1,1
167,Referral,2,Bachelor,3.5,77,85,79,8.3,30,1,positive_force morale_builder,1,3.9,4.1,36,1,0
168,Campus,0,Bachelor,3.3,70,68,72,7.3,90,1,academic_average needs_direction,1,3.1,3.3,22,0,0
169,Indeed,4,Bachelor,3.1,70,67,72,7.1,45,1,adequate_technical limited_vision,1,3.0,3.1,13,0,1
170,LinkedIn,5,Master,3.8,86,84,88,8.4,30,1,technical_architect system_thinking,1,4.2,4.3,30,1,0
171,Referral,4,Bachelor,3.7,83,90,85,8.7,45,1,team_pillar foundation_member,1,4.3,4.4,45,1,0
172,Career_Fair,2,Associate,3.1,66,78,68,7.4,30,1,hands_on_experience practical_knowhow,1,3.2,3.4,21,0,0
173,Company_Website,7,Master,3.6,84,82,86,8.3,30,1,corporate_veteran process_master,1,4.0,4.1,38,1,0
174,Indeed,3,Bachelor,2.9,63,65,66,6.4,30,1,underwhelming_effort lacks_drive,1,2.8,2.9,9,0,1
175,LinkedIn,8,PhD,3.9,92,85,94,8.8,60,1,thought_leader industry_voice,1,4.7,4.8,26,1,1
176,Referral,1,Bachelor,3.3,74,82,76,8.1,30,1,quick_adapter learns_rapidly,1,3.7,3.9,29,0,0
177,Campus,0,Master,3.6,82,75,84,7.8,60,1,academic_star needs_context,1,3.6,3.8,27,0,0
178,Indeed,5,Bachelor,3.2,72,71,74,7.4,30,1,experienced_plateau stagnant_growth,1,3.2,3.3,15,0,1
179,LinkedIn,4,Master,3.7,85,83,87,8.3,30,1,business_analyst data_driven,1,4.1,4.2,29,1,0
180,Referral,3,Bachelor,3.5,79,87,81,8.5,45,1,culture_fit_aligned value_match,1,4.0,4.2,41,1,0
181,Career_Fair,1,Bachelor,2.9,63,73,65,6.8,30,1,entry_level_developing raw_talent,1,3.0,3.2,17,0,0
182,Company_Website,6,Master,3.5,83,81,85,8.2,30,1,corporate_pro reliable_output,1,3.9,4.0,35,1,0
183,Indeed,2,Bachelor,3.0,66,64,68,6.5,30,1,barely_qualified minimum_effort,1,2.7,2.8,8,0,1
184,LinkedIn,7,PhD,3.8,90,83,92,8.6,60,1,research_maestro academic_excellence,1,4.5,4.6,23,1,1
185,Referral,2,Bachelor,3.6,78,86,80,8.4,30,1,positive_contributor team_asset,1,3.9,4.1,37,1,0
186,Campus,0,Bachelor,3.2,69,67,71,7.2,90,1,average_learner needs_guidance,1,3.1,3.3,23,0,0
187,Indeed,4,Bachelor,3.1,71,68,73,7.2,45,1,average_performer limited_scope,1,3.0,3.1,12,0,1
188,LinkedIn,5,Master,3.9,88,85,90,8.6,30,1,visionary_leader future_focused,1,4.3,4.4,33,1,0
189,Referral,4,Bachelor,3.7,82,89,84,8.6,45,1,culture_advocate value_champion,1,4.2,4.3,43,1,0
190,Career_Fair,2,Associate,3.0,65,77,67,7.3,30,1,practical_skillset hands_on_mindset,1,3.2,3.4,22,0,0
191,Company_Website,5,Master,3.4,81,80,83,8.0,30,1,corporate_steady consistent_performer,1,3.7,3.8,33,0,0
192,Indeed,3,Bachelor,2.9,64,66,67,6.5,30,1,uninspired_work lacks_motivation,1,2.8,2.9,10,0,1
193,LinkedIn,6,PhD,3.7,91,84,93,8.7,60,1,domain_authority industry_guru,1,4.6,4.7,24,1,1
194,Referral,1,Bachelor,3.4,75,83,77,8.2,30,1,quick_thinker fast_adapter,1,3.8,4.0,32,0,0
195,Campus,0,Master,3.5,80,73,82,7.7,60,1,academic_background needs_real_world,1,3.5,3.7,28,0,0
196,Indeed,5,Bachelor,3.3,74,73,76,7.5,30,1,experienced_moderate limited_ambition,1,3.3,3.4,16,0,1
197,LinkedIn,4,Master,3.8,86,84,88,8.4,30,1,strategic_thinker business_oriented,1,4.2,4.3,31,1,0
198,Referral,3,Bachelor,3.6,80,88,82,8.5,45,1,culture_fit_perfect value_alignment,1,4.1,4.2,40,1,0
199,Career_Fair,1,Bachelor,2.8,62,71,64,6.7,30,1,entry_level_needs_work potential_unrealized,1,2.9,3.1,18,0,0
200,Company_Website,6,Master,3.6,84,82,86,8.3,30,1,corporate_expert process_specialist,1,4.0,4.1,37,1,0
201,Indeed,2,Bachelor,2.7,58,61,60,5.9,30,1,weak_performer struggles_basic,0,2.1,,4,0,1
202,LinkedIn,7,PhD,3.9,92,85,94,8.8,90,0,overqualified_academic may_bored,0,,,0,0,
203,Referral,2,Bachelor,3.5,77,84,79,8.3,30,1,positive_energy team_oriented,1,3.9,4.1,38,1,0
204,Campus,0,Bachelor,3.2,68,66,70,7.1,90,1,average_student_needs_help guidance_needed,1,3.0,3.2,24,0,0
205,Indeed,4,Bachelor,3.0,69,67,71,7.0,45,1,average_employee limited_growth,1,2.9,3.0,14,0,1
206,LinkedIn,5,Master,3.7,85,83,87,8.3,30,1,technical_leader system_architect,1,4.1,4.2,32,1,0
207,Referral,5,Bachelor,3.8,84,91,86,8.8,45,1,senior_team_member informal_lead,1,4.3,4.5,46,1,0
208,Career_Fair,2,Associate,3.2,67,79,69,7.5,30,1,practical_mindset hands_on_approach,1,3.3,3.5,23,0,0
209,Company_Website,7,Master,3.5,82,81,84,8.1,30,1,corporate_professional process_adherent,1,3.8,3.9,36,0,0
210,Indeed,3,Bachelor,2.9,62,64,65,6.3,30,1,underperforming_average lacks_initiative,1,2.7,2.8,11,0,1
211,LinkedIn,8,PhD,4.0,93,86,95,8.9,60,1,industry_leader field_pioneer,1,4.8,4.9,27,1,1
212,Referral,1,Bachelor,3.3,73,81,75,8.0,30,1,fast_learner adaptive,1,3.6,3.8,30,0,0
213,Campus,0,Master,3.6,81,74,83,7.8,60,1,academic_strong needs_practical,1,3.5,3.7,29,0,0
214,Indeed,6,Bachelor,3.3,75,72,77,7.6,14,1,technical_competent poor_teamwork,1,3.4,3.5,13,0,1
215,LinkedIn,4,Master,3.8,87,85,89,8.5,30,1,business_strategist commercial_thinker,1,4.2,4.4,34,1,0
216,Referral,3,Bachelor,3.5,78,86,80,8.4,45,1,culture_carrier value_advocate,1,4.0,4.2,42,1,0
217,Career_Fair,1,Bachelor,2.9,64,74,66,6.9,30,1,entry_level_potential raw_ability,1,3.0,3.2,19,0,0
218,Company_Website,5,Master,3.4,80,79,82,7.9,30,1,corporate_consistent steady_worker,1,3.6,3.7,34,0,0
219,Indeed,2,Bachelor,3.0,65,63,67,6.4,60,1,minimum_performer coasting_along,1,2.6,2.7,9,0,1
220,LinkedIn,6,PhD,3.8,90,84,92,8.6,60,1,research_scholar academic_researcher,1,4.5,4.6,26,1,1
221,Referral,2,Bachelor,3.6,79,85,81,8.4,30,1,positive_influence morale_booster,1,3.9,4.1,39,1,0
222,Campus,0,Bachelor,3.1,67,65,69,7.0,90,1,average_academic needs_support,1,2.9,3.1,25,0,0
223,Indeed,4,Bachelor,3.2,70,69,72,7.3,45,1,average_technical limited_vision,1,3.1,3.2,15,0,1
224,LinkedIn,5,Master,3.9,88,86,90,8.7,30,1,visionary_thinker forward_looking,1,4.4,4.5,35,1,0
225,Referral,4,Bachelor,3.7,83,90,85,8.7,45,1,team_anchor foundation_builder,1,4.3,4.4,44,1,0
226,Career_Fair,2,Associate,3.1,66,78,68,7.4,30,1,practical_skills hands_on_training,1,3.2,3.4,24,0,0
227,Company_Website,6,Master,3.6,84,83,86,8.3,30,1,corporate_veteran process_expert,1,4.0,4.1,39,1,0
228,Indeed,3,Bachelor,2.8,61,63,64,6.2,30,1,underwhelming lacks_effort,0,2.3,,5,0,1
229,LinkedIn,7,PhD,3.7,89,82,91,8.5,90,0,academic_career research_focused,0,,,0,0,
230,Referral,1,Bachelor,3.4,74,82,76,8.1,30,1,quick_learner adaptive_mind,1,3.7,3.9,33,0,0
231,Campus,0,Master,3.5,79,72,81,7.6,60,1,academic_talent needs_real_experience,1,3.4,3.6,30,0,0
